,Season,SeasonOrder,Team,Round,TotalPoints,Position
588,1920,26,Portimonense,2,4,5
589,1920,26,FC Porto,2,3,6
590,1920,26,Desp. Aves,2,3,7
591,1920,26,Santa Clara,2,3,8
592,1920,26,Gil Vicente,2,3,9
593,1920,26,Moreirense,2,3,10
594,1920,26,SC Braga,2,3,11
595,1920,26,V. Guimarães,2,2,12
596,1920,26,Belenenses,2,1,13
597,1920,26,V. Setúbal,2,1,14
598,1920,26,Rio Ave,2,1,15
599,1920,26,Tondela,2,1,16
600,1920,26,Marítimo,2,1,17
601,1920,26,Paços Ferreira,2,0,18
602,1920,26,Famalicão,3,7,1
603,1920,26,Sporting CP,3,7,2
604,1920,26,SL Benfica,3,6,3
605,1920,26,FC Porto,3,6,4
606,1920,26,Boavista,3,5,5
607,1920,26,Santa Clara,3,4,6
608,1920,26,SC Braga,3,4,7
609,1920,26,Gil Vicente,3,4,8
610,1920,26,Portimonense,3,4,9
611,1920,26,Tondela,3,4,10
612,1920,26,Moreirense,3,4,11
613,1920,26,Rio Ave,3,4,12
614,1920,26,Desp. Aves,3,3,13
615,1920,26,V. Guimarães,3,3,14
616,1920,26,Belenenses,3,2,15
617,1920,26,V. Setúbal,3,2,16
618,1920,26,Marítimo,3,1,17
619,1920,26,Paços Ferreira,3,1,18
620,1920,26,Famalicão,4,10,1
621,1920,26,SL Benfica,4,9,2
622,1920,26,FC Porto,4,9,3
623,1920,26,Boavista,4,8,4
624,1920,26,Sporting CP,4,7,5
625,1920,26,Moreirense,4,7,6
626,1920,26,Rio Ave,4,7,7
627,1920,26,Gil Vicente,4,5,8
628,1920,26,Tondela,4,5,9
629,1920,26,Santa Clara,4,5,10
630,1920,26,Marítimo,4,4,11
631,1920,26,Portimonense,4,4,12
632,1920,26,SC Braga,4,4,13
633,1920,26,Desp. Aves,4,3,14
634,1920,26,V. Setúbal,4,3,15
635,1920,26,V. Guimarães,4,3,16
636,1920,26,Belenenses,4,2,17
637,1920,26,Paços Ferreira,4,1,18
638,1920,26,Famalicão,5,13,1
639,1920,26,SL Benfica,5,12,2
640,1920,26,FC Porto,5,12,3
641,1920,26,Boavista,5,9,4
642,1920,26,Sporting CP,5,8,5
643,1920,26,Santa Clara,5,8,6
644,1920,26,Tondela,5,8,7
645,1920,26,Rio Ave,5,7,8
646,1920,26,Moreirense,5,7,9
647,1920,26,V. Setúbal,5,6,10
648,1920,26,V. Guimarães,5,6,11
649,1920,26,Gil Vicente,5,5,12
650,1920,26,Belenenses,5,5,13
651,1920,26,SC Braga,5,4,14
652,1920,26,Marítimo,5,4,15
653,1920,26,Portimonense,5,4,16
654,1920,26,Desp. Aves,5,3,17
655,1920,26,Paços Ferreira,5,1,18
656,1920,26,Famalicão,6,16,1
657,1920,26,SL Benfica,6,15,2
658,1920,26,FC Porto,6,15,3
659,1920,26,Rio Ave,6,10,4
660,1920,26,Boavista,6,10,5
661,1920,26,V. Guimarães,6,9,6
662,1920,26,Sporting CP,6,8,7
663,1920,26,Tondela,6,8,8
664,1920,26,Santa Clara,6,8,9
665,1920,26,Moreirense,6,7,10
666,1920,26,V. Setúbal,6,7,11
667,1920,26,Gil Vicente,6,6,12
668,1920,26,SC Braga,6,5,13
669,1920,26,Marítimo,6,5,14
