,Season,Player,Team,J,G,PEN,AG,MPG,GTIT,GSUP,GPTS,GVIT,GRVV,PGE,SeasonOrder
254,0607,Marcelo Lipatin,Marítimo,26,7,0,0,228,3,4,0,2,1,23,13.0
255,0607,Collins Mbesuma,Marítimo,23,7,0,0,229,6,1,0,1,0,23,13.0
256,0607,Zé Carlos,SC Braga,25,7,1,0,254,7,0,0,3,0,20,13.0
257,0607,Nuno Gomes,SL Benfica,24,6,0,0,336,6,0,0,1,0,11,13.0
258,0607,Ricardo Quaresma,FC Porto,26,6,0,0,367,6,0,1,0,0,9,13.0
259,0607,Kostas Katsouranis,SL Benfica,29,6,1,0,395,6,0,0,1,0,11,13.0
260,0708,Lisandro López,FC Porto,27,24,0,0,98,24,0,0,4,0,40,
261,0708,Weldon,Belenenses,27,13,0,0,172,13,0,0,3,0,35,
262,0708,Óscar Cardozo,SL Benfica,29,13,3,0,176,13,0,1,0,0,29,
263,0708,Wesley Lopes,Paços Ferreira,22,11,1,0,156,11,0,2,2,0,35,
264,0708,Roland Linz,SC Braga,27,11,2,0,186,10,1,2,3,2,34,
265,0708,Liedson,Sporting CP,26,11,0,0,213,11,0,0,1,0,24,
266,0708,Marcelinho,Naval,26,10,2,0,210,10,0,1,4,0,42,
267,0708,Lito,Académica,27,9,0,0,236,8,1,2,0,0,29,
268,0708,João Paulo,U. Leiria,17,8,0,0,148,6,2,0,0,0,32,
269,0708,Jorge Ribeiro,Boavista,26,8,0,0,277,8,0,0,0,0,25,
270,0708,Ricardo Quaresma,FC Porto,27,8,0,0,291,8,0,0,3,0,13,
271,0708,José Pedro,Belenenses,30,8,3,0,326,8,0,1,1,0,22,
272,0708,Ariza Makukula,"Benfica, Marítimo",16,7,0,0,162,7,0,0,0,0,18,
273,0708,Nuno Gomes,SL Benfica,25,7,1,0,226,6,1,0,1,1,16,
274,0708,Simon Vukčević,Sporting CP,26,7,0,0,248,6,1,0,1,1,15,
275,0708,Márcio Mossoró,Marítimo,30,7,0,0,263,7,0,0,1,0,18,
276,0708,Cláudio Pitbull,V. Setúbal,25,7,3,0,296,7,0,0,1,0,19,
277,0708,Jorge Gonçalves,Leixões,29,7,1,0,335,6,1,1,0,0,26,
278,0708,Ernesto Farías,FC Porto,16,6,0,0,121,4,2,0,1,0,10,
279,0708,Edinho,V. Setúbal,15,6,0,0,128,0,6,1,1,0,16,
280,0809,Nenê,Nacional,28,20,1,0,125,20,0,1,2,0,43,15.0
281,0809,Óscar Cardozo,SL Benfica,26,17,4,0,111,15,2,1,2,0,31,15.0
282,0809,Liedson,Sporting CP,26,17,0,0,128,17,0,0,6,1,38,15.0
283,0809,Ernesto Farías,FC Porto,20,10,0,0,90,9,1,0,0,0,16,15.0
284,0809,Babá Diawara,Marítimo,25,10,0,0,170,8,2,2,0,0,29,15.0
285,0809,Lisandro López,FC Porto,28,10,1,0,224,10,0,0,1,0,16,15.0
286,0809,William,Paços Ferreira,12,9,2,0,99,6,3,0,3,1,24,15.0
287,0809,Lucho González,FC Porto,23,9,6,0,210,9,0,1,0,0,15,15.0
288,0809,Hulk,FC Porto,25,8,0,0,208,6,2,0,0,0,13,15.0
289,0809,Roberto,V. Guimarães,25,8,0,0,231,8,0,0,2,0,25,15.0
290,0809,Wesley Lopes,Leixões,13,7,1,0,158,7,0,1,0,0,23,15.0
291,0809,Nuno Gomes,SL Benfica,24,7,0,0,168,3,4,1,0,0,13,15.0
292,0809,Meyong,SC Braga,19,7,1,0,186,7,0,1,1,0,18,15.0
293,0809,Derlei,Sporting CP,23,7,0,0,235,6,1,0,1,0,16,15.0
294,0809,Cristiano,Paços Ferreira,26,7,0,0,264,7,0,2,1,1,19,15.0
295,0809,Lito,Académica,28,7,0,0,280,7,0,0,1,0,25,15.0
296,0809,Nuno Assis,V. Guimarães,23,7,1,0,287,7,0,0,1,0,22,15.0
297,0809,Paulo César,SC Braga,18,6,0,0,136,5,1,1,1,0,16,15.0
298,0809,Djalma Campos,Marítimo,26,6,0,0,261,4,2,1,0,0,17,15.0
299,0809,Marcelinho,Naval,27,6,1,0,346,5,1,0,0,0,24,15.0
300,0910,Óscar Cardozo,SL Benfica,29,26,6,0,93,25,1,0,4,0,33,16.0
301,0910,Radamel Falcao,FC Porto,28,25,3,0,93,24,1,2,2,0,36,16.0
302,0910,Liedson,Sporting CP,28,13,0,0,189,11,2,0,3,0,31,16.0
303,0910,Djalmir,Olhanense,17,12,1,0,97,12,0,1,1,0,39,16.0
304,0910,Edgar Silva,Nacional,24,12,4,0,128,11,1,0,2,0,33,16.0
305,0910,Cássio,U. Leiria,27,12,0,0,168,12,0,1,3,0,34,16.0
306,0910,Meyong,SC Braga,29,11,4,0,158,9,2,0,6,2,23,16.0
307,0910,Javier Saviola,SL Benfica,27,11,0,0,190,11,0,0,2,0,14,16.0
