,Season,Jogador,J,G,PEN,AG,MPG,GTIT,GSUP,GPTS,GVIT,GRVV,PGE
10,0304,Zé Manuel [Paços de Ferreira],31.0,11.0,0.0,0.0,234.0,11.0,0.0,0.0,2.0,1.0,41.0
11,0304,Serginho Baiano [Nacional],29.0,10.0,0.0,0.0,231.0,10.0,0.0,0.0,1.0,0.0,18.0
12,0304,Júlio César [Est. Amadora],30.0,10.0,1.0,0.0,234.0,9.0,1.0,2.0,0.0,0.0,45.0
13,0304,Henri Antchouet [Belenenses],30.0,10.0,0.0,0.0,250.0,10.0,0.0,0.0,2.0,0.0,29.0
14,0304,Rodolfo Lima [FC Alverca],33.0,10.0,0.0,0.0,277.0,8.0,0.0,1.0,2.0,0.0,30.0
15,0304,Douala [UD Leiria],33.0,10.0,0.0,0.0,291.0,10.0,0.0,3.0,0.0,0.0,23.0
16,0304,Rossato [Nacional],34.0,10.0,0.0,0.0,297.0,10.0,0.0,0.0,3.0,1.0,18.0
17,0304,Clyde Wijnhard [Beira-Mar],29.0,9.0,2.0,1.0,221.0,9.0,0.0,1.0,1.0,1.0,25.0
18,0304,Pedro Barbosa [Sporting],27.0,9.0,5.0,0.0,244.0,9.0,0.0,1.0,2.0,1.0,15.0
19,0304,Alan [Marítimo],34.0,9.0,0.0,0.0,333.0,9.0,0.0,2.0,3.0,1.0,26.0
0,0405,Liedson [Sporting],31.0,25.0,4.0,0.0,108.0,25.0,0.0,0.0,2.0,0.0,38.0
1,0405,João Tomás [SC Braga],29.0,15.0,0.0,0.0,157.0,15.0,0.0,1.0,4.0,1.0,33.0
2,0405,Simão Sabrosa [Benfica],34.0,15.0,4.0,0.0,204.0,15.0,0.0,2.0,3.0,1.0,29.0
3,0405,Wesley Lopes [FC Penafiel],30.0,14.0,3.0,0.0,163.0,14.0,0.0,1.0,2.0,0.0,36.0
4,0405,Henri Antchouet [Belenenses],26.0,12.0,0.0,0.0,175.0,12.0,0.0,1.0,1.0,0.0,32.0
5,0405,Benni McCarthy [FC Porto],23.0,11.0,0.0,0.0,148.0,9.0,2.0,0.0,4.0,1.0,28.0
6,0405,Meyong [V. Setúbal],33.0,11.0,2.0,0.0,191.0,9.0,2.0,0.0,1.0,0.0,24.0
7,0405,Zé Manuel [Boavista],30.0,10.0,4.0,0.0,254.0,10.0,0.0,1.0,2.0,1.0,26.0
8,0405,Roberto [FC Penafiel],31.0,9.0,0.0,0.0,257.0,9.0,0.0,0.0,1.0,0.0,23.0
9,0405,Wender [SC Braga],33.0,9.0,3.0,0.0,308.0,9.0,0.0,2.0,1.0,1.0,20.0
10,0405,Jorginho [V. Setúbal],32.0,9.0,3.0,0.0,313.0,9.0,0.0,1.0,0.0,0.0,20.0
11,0405,Pena [Marítimo],25.0,8.0,0.0,0.0,226.0,8.0,0.0,0.0,1.0,0.0,21.0
12,0405,Adriano [Nacional],31.0,8.0,0.0,0.0,275.0,7.0,1.0,2.0,2.0,0.0,17.0
13,0405,Santiago Silva [Beira-Mar],30.0,8.0,0.0,0.0,285.0,8.0,0.0,1.0,1.0,0.0,27.0
14,0405,Arrieta [Estoril Praia],21.0,7.0,1.0,0.0,185.0,7.0,0.0,0.0,1.0,1.0,18.0
15,0405,Nuno Gomes [Benfica],23.0,7.0,0.0,0.0,224.0,7.0,0.0,0.0,1.0,0.0,14.0
16,0405,"Carlos Carneiro [Gil Vicente, V. Guimarães]",28.0,7.0,0.0,0.0,265.0,7.0,0.0,0.0,2.0,0.0,21.0
17,0405,Silva [V. Guimarães],23.0,7.0,0.0,0.0,266.0,7.0,0.0,0.0,0.0,0.0,18.0
