,Season,Jogador,J,A,2A,VE
2,9596,Rui Óscar [Leça FC],27.0,14.0,2.0,0.0
3,9596,Beto [Campomaiorense],18.0,13.0,3.0,0.0
4,9596,Lula [Belenenses],29.0,13.0,3.0,0.0
5,9596,Andrade [Est. Amadora],26.0,12.0,1.0,0.0
6,9596,Costa [FC Felgueiras],27.0,12.0,1.0,0.0
7,9596,Eurico [Campomaiorense],28.0,12.0,1.0,1.0
8,9596,Artur Jorge [SC Braga],30.0,12.0,1.0,0.0
9,9596,Batista [Tirsense],30.0,12.0,0.0,0.0
10,9596,Sá Pinto [Sporting],26.0,11.0,1.0,0.0
11,9596,Paiva [Farense],30.0,11.0,2.0,0.0
12,9596,Stevan Milovac [SC Salgueiros],30.0,11.0,1.0,0.0
13,9596,Tahar El-Khalej [UD Leiria],22.0,10.0,3.0,1.0
14,9596,Jorge Costa [FC Porto],21.0,10.0,0.0,1.0
15,9596,Sérgio Abreu [SC Braga],25.0,10.0,0.0,0.0
16,9596,Gaspar [Tirsense],25.0,10.0,0.0,0.0
17,9596,Carlos Secretário [FC Porto],27.0,10.0,0.0,0.0
18,9596,Helcinho [Farense],29.0,10.0,1.0,0.0
19,9596,Litos [Boavista],27.0,10.0,1.0,0.0
0,9697,Peu [Rio Ave],27.0,17.0,3.0,0.0
1,9697,Filó [SC Espinho],25.0,14.0,3.0,0.0
2,9697,Paulito [UD Leiria],28.0,14.0,3.0,0.0
3,9697,Pedro Miguel [Farense],25.0,14.0,2.0,0.0
4,9697,Bilro [UD Leiria],31.0,14.0,1.0,0.0
5,9697,Chico Fonseca [SC Salgueiros],31.0,14.0,1.0,0.0
6,9697,Artur Jorge [SC Braga],32.0,14.0,1.0,0.0
7,9697,Alexandre [V. Guimarães],23.0,13.0,2.0,1.0
8,9697,Calado [Benfica],24.0,13.0,0.0,0.0
9,9697,Márcio Theodoro [Marítimo],26.0,13.0,2.0,0.0
10,9697,Mozer [SC Braga],31.0,13.0,1.0,2.0
11,9697,Paulo Lima Pereira [Rio Ave],28.0,13.0,0.0,0.0
12,9697,Márcio Luís [SC Espinho],29.0,13.0,0.0,1.0
13,9697,Luís Miguel [SC Espinho],28.0,13.0,2.0,0.0
14,9697,Oceano [Sporting],30.0,13.0,1.0,0.0
15,9697,Lino [SC Espinho],31.0,13.0,0.0,2.0
16,9697,Pedrosa [Sporting],32.0,13.0,1.0,0.0
17,9697,Rui Esteves [Belenenses],34.0,13.0,0.0,0.0
18,9697,Fonseca [Est. Amadora],26.0,12.0,0.0,0.0
19,9697,Jordão [Est. Amadora],31.0,12.0,1.0,0.0
0,9798,Srdjan Slagalo [Varzim],32.0,17.0,1.0,0.0
1,9798,Nail Besirovic [Farense],31.0,15.0,0.0,0.0
2,9798,Paulo Dias [Belenenses],20.0,14.0,2.0,0.0
3,9798,Mozer [SC Braga],27.0,14.0,2.0,0.0
4,9798,Luizão [Varzim],28.0,13.0,2.0,1.0
5,9798,Basílio Marques [Campomaiorense],29.0,13.0,2.0,0.0
6,9798,Andrade [Belenenses],30.0,13.0,1.0,0.0
7,9798,Abazaj [Académica OAF],23.0,12.0,0.0,0.0
8,9798,Ryuler [Leça FC],21.0,12.0,4.0,0.0
9,9798,Mauro Soares [Farense],29.0,12.0,1.0,0.0
10,9798,Oceano [Sporting],27.0,12.0,1.0,0.0
11,9798,Caetano [Belenenses],28.0,12.0,1.0,0.0
12,9798,Pedro Miguel [Farense],30.0,12.0,2.0,0.0
13,9798,Litos [Boavista],32.0,12.0,0.0,1.0
14,9798,Joel [Campomaiorense],22.0,11.0,1.0,0.0
15,9798,Sousa [Benfica],25.0,11.0,0.0,0.0
16,9798,Filgueira [Belenenses],26.0,11.0,2.0,0.0
17,9798,António Miranda [Varzim],32.0,11.0,0.0,0.0
18,9798,Rched Mounir [Académica OAF],29.0,11.0,1.0,1.0
19,9798,Rui Carlos [V. Setúbal],31.0,11.0,0.0,0.0
0,9899,Hugo Costa [FC Alverca],29.0,17.0,3.0,1.0
1,9899,Luizão [GD Chaves],29.0,16.0,2.0,1.0
2,9899,Mauro Soares [Campomaiorense],27.0,15.0,1.0,0.0
3,9899,Cao [SC Salgueiros],31.0,15.0,1.0,0.0
4,9899,Márcio Antônio [Marítimo],30.0,14.0,0.0,0.0
5,9899,Quevedo [Boavista],31.0,14.0,1.0,0.0
6,9899,Jorge Costa [FC Porto],33.0,14.0,0.0,0.0
7,9899,Caetano [Beira-Mar],30.0,13.0,0.0,0.0
8,9899,Beto [Sporting],28.0,13.0,1.0,0.0
9,9899,Rui Óscar [Marítimo],29.0,13.0,2.0,0.0
10,9899,Nail Besirovic [Farense],32.0,13.0,1.0,0.0
11,9899,João Manuel [UD Leiria],23.0,12.0,1.0,0.0
12,9899,Fusco [Beira-Mar],31.0,12.0,1.0,1.0
13,9899,Bilro [UD Leiria],31.0,12.0,1.0,0.0
14,9899,Hélio [V. Setúbal],33.0,12.0,1.0,1.0
15,9899,Litos [Boavista],32.0,12.0,2.0,0.0
16,9899,Fernando Mendes [FC Porto],19.0,11.0,0.0,0.0
17,9899,Luís Manuel [Boavista],22.0,11.0,2.0,0.0
18,9899,Chico Fonseca [SC Salgueiros],29.0,11.0,0.0,1.0
19,9899,Gouveia [Farense],30.0,11.0,0.0,0.0
0,9900,Torrão [Campomaiorense],31.0,17.0,3.0,0.0
1,9900,Paulo Sousa [Boavista],16.0,15.0,2.0,0.0
2,9900,Diogo [FC Alverca],25.0,15.0,2.0,0.0
3,9900,Predrag Jokanovic [Marítimo],27.0,14.0,0.0,0.0
4,9900,Peu [Rio Ave],27.0,14.0,1.0,1.0
5,9900,Cao [Campomaiorense],28.0,13.0,1.0,1.0
6,9900,Petit [Gil Vicente],30.0,13.0,0.0,0.0
7,9900,Pedro Lavoura [SC Braga],31.0,13.0,0.0,0.0
8,9900,Beke [Campomaiorense],29.0,13.0,2.0,1.0
9,9900,Albertino [Marítimo],32.0,13.0,1.0,0.0
10,9900,Kenedy [Est. Amadora],25.0,12.0,0.0,0.0
11,9900,Poejo [Campomaiorense],28.0,12.0,1.0,0.0
12,9900,Hugo Costa [FC Alverca],25.0,12.0,2.0,0.0
13,9900,Barroso [SC Braga],30.0,12.0,0.0,0.0
14,9900,Jorge Costa [FC Porto],31.0,12.0,0.0,0.0
15,9900,Pedro Emanuel [Boavista],32.0,12.0,1.0,0.0
16,9900,Luís Manuel [Boavista],20.0,11.0,1.0,0.0
17,9900,Maniche [Benfica],28.0,11.0,1.0,0.0
18,9900,Lázaro [Est. Amadora],29.0,11.0,2.0,1.0
19,9900,Litos [Boavista],30.0,11.0,0.0,0.0
0,0001,Cléber Lima [Belenenses],28.0,21.0,2.0,0.0
1,0001,Fernando Aguiar [Beira-Mar],30.0,17.0,2.0,1.0
2,0001,Guga [Belenenses],30.0,14.0,0.0,1.0
3,0001,Rafael [Paços de Ferreira],31.0,14.0,1.0,0.0
4,0001,Deco [FC Porto],31.0,13.0,1.0,0.0
5,0001,Glauber [Paços de Ferreira],30.0,13.0,2.0,0.0
6,0001,Petit [Boavista],26.0,12.0,1.0,1.0
7,0001,Lino [Marítimo],29.0,12.0,2.0,0.0
8,0001,Zé António [FC Alverca],29.0,12.0,0.0,0.0
9,0001,Bilro [UD Leiria],30.0,12.0,1.0,0.0
10,0001,Litos [Boavista],33.0,12.0,0.0,0.0
11,0001,José Vieira [CD Aves],19.0,11.0,1.0,0.0
12,0001,Predrag Jokanović [Marítimo],23.0,11.0,0.0,0.0
13,0001,Pedro Simões [Est. Amadora],24.0,11.0,1.0,0.0
14,0001,Neves [SC Salgueiros],26.0,11.0,0.0,0.0
15,0001,Petar Krpan [UD Leiria],27.0,11.0,0.0,0.0
16,0001,Patacas [Campomaiorense],26.0,11.0,1.0,0.0
17,0001,João Manuel [UD Leiria],29.0,11.0,1.0,1.0
18,0001,Miguel Vaz [Campomaiorense],29.0,11.0,1.0,0.0
19,0001,Kenedy [Est. Amadora],27.0,11.0,1.0,0.0
